ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FE,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,TI,V,V40,ZN,Y_LABEL
1486.0,2011.0,7.0,200.0,0.0,3.0,93.0,0.0,0.0,3059.0,0.0,0.0,13.0,78.0,888.0,0.0,27.0,1.0,14.0,16.0,1.0,16.0,6.0,1951.0,0.0,8504.0,21370.0,0.0,427.0,2.0,5.0,0.0,154.0,75.0,0.0
7389.0,2010.0,2.0,200.0,0.0,8.0,3.0,0.0,0.0,1960.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,906.0,1.0,44.0,21774.0,2.0,1.0,1.0,0.0,0.0,133.3,7.0,0.0
3954.0,2015.0,4.0,200.0,0.0,1.0,157.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,309.0,0.0,217.0,18470.0,0.0,2.0,0.0,0.0,0.0,133.1,128.0,0.0
2061.0,2008.0,4.0,550.0,0.0,3.0,8.0,0.0,0.0,2770.0,0.0,0.0,3.0,179.0,550.0,0.0,0.5,0.0,12.0,42.0,11.0,4.0,4.0,1129.0,2.0,329.0,8685.0,2.0,32.0,5.0,0.0,0.0,69.7,1015.0,0.0
1416.0,2015.0,7.0,616.0,0.0,0.0,21.0,0.0,0.0,130.0,0.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,330.0,0.0,26.0,16280.0,0.0,1.0,0.0,0.0,0.0,148.5,24.0,0.0
1170.0,2009.0,4.0,370.0,0.0,5.0,3.0,3.0,0.0,2589.0,0.0,0.0,3.0,6.0,81.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,0.0,866.0,2.0,7735.0,17090.0,1.0,6.0,0.0,0.0,0.0,142.9,16.0,0.0
4880.0,2014.0,7.0,200.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,4.0,125.0,166.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,4.0,451.0,0.0,83.0,15960.0,0.0,2.0,0.0,0.0,0.0,140.7,89.0,0.0
1172.0,2018.0,5.0,375.0,0.0,3.0,2.0,1.0,0.0,2325.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,295.0,0.0,139.0,13240.0,0.0,0.0,0.0,0.0,0.0,173.8,4.0,0.0
3076.0,2013.0,22.0,200.0,0.0,0.0,2.0,0.0,0.0,56.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1001.0,0.0,23.0,20570.0,0.0,3.0,0.0,0.0,0.0,133.0,28.0,0.0
3475.0,2016.0,3.0,200.0,0.0,7.0,86.0,0.0,0.0,3330.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,905.0,0.0,23.0,8893.0,0.0,61.0,0.0,0.0,0.0,114.0,1087.0,0.0
